Date,Close,High,Low,Open,Volume
2020-01-02,72.46826934814453,72.5285891982157,71.22326675908423,71.47660718407792,135480400.0
2020-01-03,71.76372528076172,72.52375386627762,71.53933722124737,71.69616734789946,146322800.0
2020-01-06,72.33555603027344,72.3741616151194,70.63453932655295,70.88547194642054,118387200.0
2020-01-07,71.99536895751953,72.60097528872254,71.77580380389517,72.34521969510813,108872000.0
2020-01-08,73.15350341796875,73.4551026743299,71.69858889981313,71.69858889981313,132079200.0
2020-01-09,74.70734405517578,74.90036463569696,73.87975745537804,74.13068273740295,170108400.0
2020-01-10,74.87620544433594,75.4408055125106,74.37434771660986,74.94135557088083,140644800.0
2020-01-13,76.47589874267578,76.50244329938738,75.07406634437707,75.19229822984673,121532000.0
2020-01-14,75.44325256347656,76.62311254429632,75.32020505767588,76.41320061231343,161954400.0
2020-01-15,75.11991882324219,76.12364189473249,74.6880266854858,75.2429736592525,121923600.0
2020-01-16,76.0609130859375,76.17190690767254,75.30088447470833,75.66280356227105,108829200.0
2020-01-17,76.9029769897461,76.90538477645106,76.00300228022495,76.30942443229468,137816400.0
2020-01-21,76.38180541992188,76.97293540809704,76.24427442355741,76.53139743845387,110843200.0
2020-01-22,76.65445709228516,77.20698153576836,76.56035460570881,76.86677674803076,101832400.0
2020-01-23,77.02362823486328,77.10324719984139,76.15984382890906,76.70755279875391,104472000.0
2020-01-24,76.80165100097656,78.01287102929439,76.61103819892749,77.26973366124079,146537600.0
2020-01-27,74.54326629638672,75.22366854186772,73.56125746709372,74.81108286986905,161940000.0
2020-01-28,76.65203857421875,76.82334485387435,75.32500212699546,75.42392754574348,162234000.0
2020-01-29,78.25654602050781,79.1034389225781,77.54236118317645,78.28309057876027,216229200.0
2020-01-30,78.14314270019531,78.196224452265,76.90779359376785,77.33968569636842,126743200.0
2020-01-31,74.67838287353516,77.85602816826189,74.38402173692818,77.43378925544725,199588400.0
2020-02-03,74.47330474853516,75.63868107737575,72.91946473457213,73.42132267544993,173788400.0
2020-02-04,76.93194580078125,77.12255860741972,75.67246691320435,76.07781457826587,136616400.0
2020-02-05,77.55925750732422,78.35789164403798,76.95605907395962,78.0587002140709,118826800.0
2020-02-06,78.46646118164062,78.4688763315637,77.27213272836197,77.82948747921107,105425600.0
2020-02-07,77.39991760253906,78.21495789684333,76.90895819607671,77.96585056017996,117684000.0
2020-02-10,77.76751708984375,77.76751708984375,75.90526089218041,75.98506881434587,109348800.0
2020-02-11,77.29830932617188,78.33585640766411,77.08064401597953,78.26330376451229,94323200.0
2020-02-12,79.13397979736328,79.13881418044723,77.74816513747918,77.74816513747918,113730400.0
2020-02-13,78.5704574584961,78.8969591321478,78.20284507837152,78.40599987113015,94747600.0
2020-02-14,78.58982849121094,78.83893581347662,78.08193769783979,78.53903424535652,80113600.0
2020-02-18,77.1507797241211,77.3321687046637,76.08904601525819,76.2704349958008,152531200.0
2020-02-19,78.26814270019531,78.49790505143669,77.39263964512776,77.39263964512776,93984000.0
2020-02-20,77.4652099609375,78.51726787221662,76.95974005365503,78.02872938009521,100566000.0
2020-02-21,75.71175384521484,77.50146427081181,75.09503429364842,77.05887104659352,129554000.0
2020-02-24,72.11540985107422,73.56652149415794,69.95083941191562,71.89291019901326,222195200.0
2020-02-25,69.67273712158203,73.16750228692123,69.20113004030677,72.78537928554614,230673600.0
2020-02-26,70.77798461914062,72.04287320574078,69.29059633111234,69.2978515957081,198054800.0
2020-02-27,66.15137481689453,69.16969127505396,66.01593824961232,67.9846176209649,320605600.0
2020-02-28,66.1126708984375,67.33402814341571,62.00360705177279,62.218858912688944,426510000.0
2020-03-02,72.26781463623047,72.9038867453178,67.16715549336965,68.27000031448878,341397200.0
2020-03-03,69.9726333618164,73.52301950606079,69.12130946491573,73.44321158109558,319475600.0
2020-03-04,73.21827697753906,73.37790019382146,70.89408264604006,71.6946122287109,219178400.0
2020-03-05,70.84329986572266,72.44677262458974,70.4781009386349,71.47210923904862,187572800.0
2020-03-06,69.90248107910156,70.33539821217181,68.01603849038064,68.2022618674925,226176800.0
2020-03-09,64.37376403808594,67.25663636962582,63.60708978441408,63.788478823723246,286744800.0
2020-03-10,69.01005554199219,69.27609424415243,65.14767842910632,67.02687337652254,285290000.0
2020-03-11,66.61328125,68.01360611620582,65.74986801151265,67.0873163892102,255598800.0
2020-03-12,60.0349235534668,65.30004285714023,59.9792986243362,61.8996041788163,418474000.0
2020-03-13,67.22758483886719,67.69919907964612,61.17644819639121,64.06416467440111,370732000.0
2020-03-16,58.57898712158203,62.659026366343305,58.04449246305551,58.51610322624394,322423600.0
2020-03-17,61.15470123291016,62.30349462454375,57.65751943951495,59.86079146440188,324056000.0
2020-03-18,59.65763092041016,60.46299850331859,57.34794363950967,57.98885363786599,300233600.0
2020-03-19,59.20053863525391,61.14986537455913,58.6757201816232,59.83177257079482,271857200.0
2020-03-20,55.44215393066406,60.90558973701077,55.14225612147072,59.78097572031221,401693200.0
2020-03-23,54.26433563232422,55.26318563901528,51.42015725357116,55.16160823517076,336752800.0
2020-03-24,59.70842742919922,59.904326973466,56.66592859765041,57.1641431646422,287531200.0
2020-03-25,59.3795051574707,62.45828014038061,59.08444541685393,60.644390107262105,303602000.0
2020-03-26,62.50423431396485,62.56227643476942,59.58266157820947,59.6213587856584,252087200.0
2020-03-27,59.91642379760742,61.882678310331166,59.74954530489737,61.1281011506361,204216800.0
2020-03-30,61.62630844116211,61.79802498746447,60.31788821611853,60.6419727055928,167976400.0
2020-03-31,61.50054931640625,63.48373516730324,60.94670980739506,61.81737856650545,197002000.0
2020-04-01,58.26456451416016,60.15342798886396,57.83406826188775,59.61651626922201,176218400.0
2020-04-02,59.23680877685547,59.290016512254034,57.29473750591379,58.12670897901646,165934000.0
2020-04-03,58.38549423217773,59.4230377244274,57.79537474123642,58.72166837623119,129880000.0
2020-04-06,63.4788818359375,63.633663246501584,60.313040684944006,60.68065299317754,201820400.0
2020-04-07,62.74365234375,65.71118062287962,62.63965777210733,65.49350795383168,202887200.0
2020-04-08,64.34956359863281,64.66396824725281,63.17900080091498,63.54419230307632,168895200.0
2020-04-09,64.81391143798828,65.31696770263731,64.01822371729881,64.98563166236876,161834800.0
2020-04-13,66.08607482910156,66.19491120746524,64.29152931174313,64.89132507247314,131022800.0
2020-04-14,69.42362976074219,69.71385518039764,67.24696125554331,67.71857571729868,194994800.0
2020-04-15,68.78997039794922,69.2494877739681,67.87093564591146,68.29901107744294,131154400.0
2020-04-16,69.33655548095703,69.7017543891835,68.28691861079514,69.50343396347523,157125200.0
2020-04-17,68.39573669433594,69.39942831156146,66.95913534892303,68.85284047730217,215250000.0
2020-04-20,66.97607421875,68.12487124671051,66.95672930580358,67.22276798842614,130015200.0
2020-04-21,64.90583801269531,67.05348554767438,64.19479234555389,66.81888874755303,180991600.0
2020-04-22,66.77532958984375,67.2106601783122,65.83210839433792,66.17311317288764,116862400.0
2020-04-23,66.51654815673828,68.14179371829223,66.47785095518503,66.71970292934046,124814400.0
2020-04-24,68.4368667602539,68.44654290771221,66.99300989791057,67.04138325446418,126161200.0
2020-04-27,68.48522186279297,68.81655786273095,67.70645826657413,68.15387848211901,117087600.0
2020-04-28,67.3751449584961,69.12857242814091,67.28324737370122,68.94718337955696,112004800.0
2020-04-29,69.58808135986328,70.05727484881541,68.65937052894684,68.86252533126566,137280800.0
2020-04-30,71.0561294555664,71.23268410942524,69.73804020932337,70.1274184677146,183064000.0
2020-05-01,69.91215515136719,72.31374359365245,69.13339146359068,69.23013078154854,240616800.0
2020-05-04,70.90133666992188,71.02951794095532,69.24706979478302,69.93634950460861,133568000.0
2020-05-05,71.96546173095703,72.79743298409119,71.21571925065486,71.36083188889647,147751200.0
2020-05-06,72.70793914794922,73.33916907522283,72.28227743467897,72.6668210767079,142333600.0
2020-05-07,73.46013641357422,73.80599044082199,73.0320609589904,73.33437600959047,115215200.0
